X,Y,R
-0.3,0,1
-0.296,-0.1952,1
-0.279754,-0.387211,1
-0.253299,-0.573754,1
-0.218975,-0.75359,1
-0.178953,-0.926317,1
-0.135034,-1.09207,1
-0.0886194,-1.25126,1
-0.040761,-1.40443,1
0.00776574,-1.55213,1
0.0563945,-1.69492,1
0.104713,-1.83329,1
0.152422,-1.96768,1
0.199303,-2.09848,1
0.245199,-2.22604,1
0.289997,-2.35067,1
0.333613,-2.47264,1
0.375991,-2.59218,1
0.41709,-2.7095,1
0.456881,-2.82479,1
0.495347,-2.93821,1
0.532477,-3.04991,1
0.568266,-3.16002,1
0.60271,-3.26866,1
0.635812,-3.37595,1
0.667574,-3.48197,1
0.698,-3.58682,1
0.727095,-3.69058,1
0.754864,-3.79332,1
0.781313,-3.89512,1
0.806447,-3.99604,1
0.830271,-4.09614,1
0.852791,-4.19547,1
0.874009,-4.29409,1
0.893931,-4.39204,1
0.912558,-4.48938,1
0.929894,-4.58615,1
0.945939,-4.68238,1
0.960696,-4.77813,1
0.974162,-4.87342,1
0.986338,-4.9683,1
0.997221,-5.06281,1
1.00681,-5.15697,1
1.0151,-5.25083,1
1.02208,-5.34441,1
1.02776,-5.43776,1
1.03212,-5.5309,1
1.03515,-5.62387,1
1.03685,-5.71671,1
1.03721,-5.80944,1
1.03621,-5.9021,1
1.03384,-5.99473,1
1.03009,-6.08736,1
1.02495,-6.18004,1
1.01839,-6.2728,1
1.0104,-6.36568,1
1.00095,-6.45873,1
0.990035,-6.55198,1
0.977622,-6.64549,1
0.963687,-6.73932,1
0.948205,-6.83351,1
0.931148,-6.92812,1
0.912484,-7.02321,1
0.892181,-7.11887,1
0.870207,-7.21516,1
0.846524,-7.31216,1
0.821095,-7.40997,1
0.793879,-7.5087,1
0.764837,-7.60845,1
0.733925,-7.70935,1
0.701102,-7.81156,1
0.666326,-7.91522,1
0.629556,-8.02054,1
0.590758,-8.12773,1
0.549902,-8.23703,1
0.506971,-8.34873,1
0.461967,-8.46317,1
0.41492,-8.58073,1
0.3659,-8.70189,1
0.315043,-8.82716,1
0.262575,-8.95719,1
0.208862,-9.09269,1
0.154468,-9.23448,1
0.100241,-9.38345,1
0.0474178,-9.54048,1
-0.00227211,-9.70629,1
-0.0465636,-9.88117,1
-0.0827793,-10.0646,1
-0.108248,-10.2551,1
-0.120993,-10.4497,1
-0.120378,-10.6451,1
-0.107248,-10.838,1
-0.0835034,-11.0258,1
-0.0514448,-11.2072,1
-0.0132716,-11.3817,1
0.0291606,-11.5492,1
0.0743925,-11.7101,1
0.121319,-11.865,1
0.169122,-12.0144,1
0.217198,-12.1588,1
0.265107,-12.2987,1
0.312527,-12.4346,1
0.359222,-12.5668,1
0.405022,-12.6957,1
0.449799,-12.8216,1
0.493463,-12.9448,1
0.535948,-13.0656,1
0.577207,-13.184,1
0.617206,-13.3004,1
0.655923,-13.4148,1
0.693342,-13.5275,1
0.729455,-13.6385,1
0.764257,-13.7481,1
0.797746,-13.8562,1
0.829921,-13.963,1
0.860786,-14.0686,1
0.890344,-14.1731,1
0.918597,-14.2766,1
0.94555,-14.379,1
0.971207,-14.4806,1
0.995571,-14.5812,1
1.01865,-14.6811,1
1.04044,-14.7802,1
1.06095,-14.8787,1
1.08017,-14.9765,1
1.09812,-15.0736,1
1.11479,-15.1702,1
1.13018,-15.2663,1
1.14429,-15.3619,1
1.15712,-15.4571,1
1.16867,-15.5519,1
1.17893,-15.6462,1
1.18789,-15.7403,1
1.19556,-15.834,1
1.20193,-15.9275,1
1.20699,-16.0207,1
1.21072,-16.1137,1
1.21313,-16.2066,1
1.2142,-16.2993,1
1.21392,-16.3919,1
1.21227,-16.4845,1
1.20924,-16.577,1
1.20482,-16.6695,1
1.19898,-16.7621,1
1.19171,-16.8547,1
1.18299,-16.9475,1
1.17279,-17.0405,1
1.1611,-17.1336,1
1.14788,-17.2271,1
1.13311,-17.3209,1
1.11676,-17.415,1
1.0988,-17.5096,1
1.07919,-17.6047,1
1.0579,-17.7004,1
1.0349,-17.7968,1
1.01013,-17.8939,1
0.98357,-17.9919,1
0.955163,-18.0908,1
0.924869,-18.1909,1
0.892642,-18.2922,1
