X,Y,R
-0.440439,-27.4577,1
-0.428446,-27.6004,1
-0.414978,-27.7429,1
-0.40001,-27.8852,1
-0.383517,-28.0274,1
-0.36547,-28.1692,1
-0.345838,-28.3107,1
-0.32459,-28.4518,1
-0.301691,-28.5924,1
-0.277103,-28.7324,1
-0.250789,-28.8719,1
-0.222706,-29.0107,1
-0.192811,-29.1486,1
-0.161059,-29.2856,1
-0.127403,-29.4216,1
-0.0917933,-29.5564,1
-0.0541823,-29.6899,1
-0.0145212,-29.8219,1
0.027236,-29.9521,1
0.0711303,-30.0804,1
0.117194,-30.2065,1
0.165445,-30.33,1
0.215879,-30.4506,1
0.268456,-30.5678,1
0.323082,-30.6811,1
0.379585,-30.7899,1
0.437671,-30.8935,1
0.49687,-30.9911,1
0.556455,-31.0817,1
0.615341,-31.1645,1
0.671972,-31.2386,1
0.724241,-31.3034,1
0.769543,-31.359,1
0.805094,-31.4068,1
0.828557,-31.449,1
0.838762,-31.4889,1
0.83604,-31.5301,1
0.82196,-31.5752,1
0.798701,-31.6261,1
0.76849,-31.6835,1
0.733276,-31.7478,1
0.694634,-31.8185,1
0.653772,-31.8954,1
0.611602,-31.9779,1
0.568799,-32.0655,1
0.525862,-32.1577,1
0.483159,-32.2541,1
0.440965,-32.3542,1
0.39948,-32.4578,1
0.358855,-32.5645,1
0.319201,-32.674,1
0.280601,-32.7861,1
0.243115,-32.9006,1
0.206789,-33.0172,1
0.171654,-33.1359,1
0.137735,-33.2564,1
0.105047,-33.3787,1
0.0736018,-33.5025,1
0.043407,-33.6279,1
0.0144669,-33.7546,1
-0.013216,-33.8826,1
-0.0396411,-34.0118,1
-0.0648083,-34.1422,1
-0.0887186,-34.2736,1
-0.111373,-34.4059,1
-0.132773,-34.5392,1
-0.152919,-34.6734,1
-0.171814,-34.8084,1
-0.189456,-34.9442,1
-0.205847,-35.0807,1
-0.220986,-35.2178,1
-0.234873,-35.3556,1
-0.247505,-35.494,1
-0.25888,-35.6329,1
-0.268995,-35.7723,1
-0.277847,-35.9122,1
-0.28543,-36.0525,1
-0.291739,-36.1933,1
-0.296767,-36.3344,1
-0.300507,-36.4758,1
-0.30295,-36.6176,1
-0.304086,-36.7596,1
-0.303905,-36.9018,1
-0.302394,-37.0443,1
-0.299541,-37.1869,1
-0.295331,-37.3297,1
-0.289748,-37.4725,1
-0.282775,-37.6154,1
-0.274394,-37.7584,1
-0.264584,-37.9013,1
-0.253323,-38.0442,1
-0.240588,-38.187,1
-0.226354,-38.3296,1
-0.210593,-38.472,1
-0.193277,-38.6142,1
-0.174373,-38.7561,1
-0.153849,-38.8977,1
-0.131669,-39.0388,1
-0.107795,-39.1794,1
-0.0821865,-39.3195,1
-0.0548005,-39.4589,1
-0.0255918,-39.5975,1
0.00548695,-39.7353,1
0.0384854,-39.8721,1
0.0734548,-40.0078,1
0.110447,-40.1422,1
0.149515,-40.2752,1
0.190709,-40.4065,1
0.234076,-40.536,1
0.279656,-40.6633,1
0.327475,-40.7882,1
0.37754,-40.9102,1
0.429827,-41.0289,1
0.484261,-41.1439,1
0.540695,-41.2545,1
0.598868,-41.3601,1
0.658356,-41.4597,1
0.718489,-41.5526,1
0.778256,-41.6377,1
0.836189,-41.7141,1
0.890266,-41.7812,1
0.937937,-41.839,1
0.976389,-41.8885,1
1.00314,-41.9317,1
1.01676,-41.972,1
1.01731,-42.0128,1
1.00618,-42.0569,1
0.985447,-42.1065,1
0.957347,-42.1624,1
0.923866,-42.225,1
0.88663,-42.2941,1
0.846904,-42.3693,1
0.805643,-42.4501,1
0.76356,-42.5361,1
0.721186,-42.6268,1
0.678914,-42.7217,1
0.637036,-42.8204,1
0.595769,-42.9226,1
0.555278,-43.028,1
0.515683,-43.1363,1
0.477076,-43.2472,1
0.439524,-43.3605,1
0.403079,-43.476,1
0.367778,-43.5937,1
0.333648,-43.7132,1
0.300711,-43.8345,1
0.268981,-43.9574,1
0.238467,-44.0818,1
0.209178,-44.2077,1
0.181117,-44.3349,1
0.154287,-44.4633,1
0.12869,-44.5929,1
0.104328,-44.7236,1
0.0811996,-44.8554,1
0.0593056,-44.988,1
0.038646,-45.1216,1
0.0192208,-45.2561,1
0.00103052,-45.3913,1
-0.0159241,-45.5273,1
-0.0316418,-45.664,1
-0.0461208,-45.8013,1
-0.0593588,-45.9393,1
-0.0713525,-46.0778,1
-0.0820982,-46.2169,1
-0.0915913,-46.3565,1
-0.0998264,-46.4966,1
-0.106797,-46.6371,1
-0.112496,-46.778,1
-0.116916,-46.9193,1
-0.120047,-47.0609,1
-0.121878,-47.2028,1
-0.122399,-47.3449,1
-0.121597,-47.4874,1
-0.119458,-47.63,1
-0.115968,-47.7727,1
-0.111109,-47.9157,1
-0.104865,-48.0587,1
-0.0972154,-48.2017,1
-0.08814,-48.3448,1
-0.0776164,-48.4879,1
-0.0656202,-48.6309,1
-0.0521255,-48.7738,1
-0.0371043,-48.9166,1
-0.0205265,-49.0591,1
-0.00236019,-49.2014,1
0.0174292,-49.3434,1
0.0388785,-49.485,1
0.0620267,-49.6262,1
0.0869158,-49.7668,1
0.11359,-49.9068,1
0.142096,-50.0462,1
0.172484,-50.1847,1
0.204805,-50.3223,1
0.239114,-50.4588,1
0.275465,-50.5942,1
0.313915,-50.7281,1
0.354518,-50.8605,1
0.397328,-50.9911,1
0.442391,-51.1196,1
0.489742,-51.2458,1
0.5394,-51.3693,1
0.591352,-51.4895,1
0.645545,-51.6062,1
0.701853,-51.7186,1
0.76005,-51.826,1
0.819752,-51.9277,1
0.880348,-52.0228,1
0.940899,-52.1102,1
1.00002,-52.189,1
1.05578,-52.2585,1
1.1057,-52.3185,1
1.14695,-52.3698,1
1.17692,-52.4143,1
1.19395,-52.4551,1
1.19781,-52.4956,1
1.18969,-52.539,1
1.17158,-52.5873,1
1.14567,-52.6417,1
1.11401,-52.7027,1
1.07825,-52.7701,1
1.03973,-52.8437,1
0.999442,-52.9229,1
0.958137,-53.0073,1
0.916379,-53.0964,1
0.874585,-53.1899,1
0.833068,-53.2872,1
0.792062,-53.388,1
0.751743,-53.4921,1
0.712243,-53.5991,1
0.673663,-53.7088,1
0.636077,-53.8209,1
0.599543,-53.9354,1
0.564105,-54.0519,1
