X,Y,R
0.441227,0.903541,5
0.500482,0.876221,5
0.559537,0.845747,5
0.618368,0.812229,5
0.676952,0.775788,5
0.735266,0.736555,5
0.793285,0.694672,5
0.850987,0.650288,5
0.908348,0.603564,5
0.965346,0.554667,5
1.02196,0.503775,5
1.07816,0.451069,5
1.13393,0.396741,5
1.18925,0.340984,5
1.24409,0.284,5
1.29844,0.225994,5
1.35227,0.167175,5
1.40555,0.107754,5
1.45827,0.0479449,5
1.51041,-0.0120364,5
1.56195,-0.0719744,5
1.61286,-0.131653,5
1.66312,-0.190859,5
1.71272,-0.249377,5
1.76164,-0.306998,5
1.80985,-0.363514,5
1.85734,-0.418721,5
1.90408,-0.472422,5
1.95006,-0.524423,5
1.99526,-0.574536,5
2.03967,-0.622581,5
2.08325,-0.668386,5
2.12601,-0.711785,5
2.16791,-0.752623,5
2.20895,-0.790752,5
2.2491,-0.826035,5
2.28836,-0.858346,5
2.3267,-0.887567,5
2.36411,-0.913594,5
2.40057,-0.936333,5
2.43607,-0.955702,5
2.4706,-0.971632,5
2.50414,-0.984065,5
2.53668,-0.992956,5
2.5682,-0.998274,5
2.5987,-0.999999,5
2.62815,-0.998125,5
2.65656,-0.992659,5
2.6839,-0.983621,5
2.71017,-0.971042,5
2.73536,-0.954969,5
2.75945,-0.935459,5
2.78244,-0.912582,5
2.80431,-0.886421,5
2.82506,-0.85707,5
2.84469,-0.824635,5
2.86317,-0.789231,5
2.88051,-0.750987,5
2.8967,-0.710041,5
2.91173,-0.666539,5
2.92559,-0.620638,5
2.93829,-0.572503,5
2.94981,-0.522309,5
2.96014,-0.470234,5
2.9693,-0.416467,5
2.97727,-0.361201,5
2.98404,-0.304636,5
2.98963,-0.246974,5
2.99401,-0.188423,5
2.9972,-0.129194,5
2.99919,-0.0694998,5
2.99998,-0.00955578,5
2.99958,0.0504227,5
2.99797,0.11022,5
2.99516,0.16962,5
2.99115,0.22841,5
2.98595,0.286378,5
2.97955,0.343315,5
2.97197,0.399017,5
2.96319,0.453282,5
2.95323,0.505916,5
2.94208,0.55673,5
2.92976,0.60554,5
2.91627,0.65217,5
2.90161,0.696454,5
2.88579,0.738231,5
2.86882,0.777351,5
2.8507,0.813674,5
2.83144,0.847068,5
2.81104,0.877414,5
2.78952,0.904602,5
2.76689,0.928534,5
2.74315,0.949125,5
2.71831,0.966299,5
2.69239,0.979997,5
2.66538,0.990167,5
2.63732,0.996773,5
2.60819,0.999793,5
2.57803,0.999214,5
2.54683,0.995039,5
2.51461,0.987283,5
2.48139,0.975974,5
2.44718,0.961153,5
2.41198,0.942872,5
2.37582,0.921198,5
2.33872,0.896209,5
2.30067,0.867994,5
2.26171,0.836656,5
2.22184,0.802306,5
2.18108,0.765069,5
2.13945,0.725079,5
2.09696,0.682479,5
2.05364,0.637423,5
2.00949,0.590072,5
1.96454,0.540599,5
1.91881,0.489179,5
1.87231,0.435999,5
1.82505,0.38125,5
1.77707,0.325129,5
1.72838,0.267838,5
1.679,0.209583,5
1.62894,0.150574,5
1.57823,0.0910224,5
1.52689,0.0311435,5
1.47494,-0.0288474,5
1.42241,-0.0887346,5
1.3693,-0.148302,5
1.31564,-0.207336,5
1.26146,-0.265624,5
1.20677,-0.322956,5
1.1516,-0.379126,5
1.09597,-0.433931,5
1.03991,-0.487175,5
0.983422,-0.538665,5
0.926544,-0.588216,5
0.869296,-0.635651,5
0.8117,-0.680798,5
0.75378,-0.723495,5
0.695557,-0.763588,5
0.637057,-0.800933,5
0.578302,-0.835395,5
0.519316,-0.866851,5
0.460122,-0.895187,5
0.400743,-0.920302,5
0.341205,-0.942104,5
0.28153,-0.960516,5
0.221742,-0.975471,5
0.161866,-0.986916,5
0.101925,-0.994808,5
0.0419435,-0.99912,5
-0.018055,-0.999837,5
-0.0780463,-0.996955,5
-0.138006,-0.990486,5
-0.197911,-0.980451,5
-0.257737,-0.966888,5
-0.31746,-0.949845,5
-0.377055,-0.929384,5
-0.4365,-0.905578,5
-0.49577,-0.878513,5
-0.554842,-0.848287,5
-0.613692,-0.815007,5
-0.672297,-0.778794,5
-0.730632,-0.739779,5
-0.788676,-0.698101,5
-0.846404,-0.65391,5
-0.903793,-0.607366,5
-0.960821,-0.558637,5
-1.01746,-0.507897,5
-1.0737,-0.455329,5
-1.12951,-0.401122,5
-1.18486,-0.345472,5
-1.23975,-0.288578,5
