X,Y,R
1000,0,11
998,0,11
996,0,11
994,0,11
992,0,11
990,0,11
988,0,11
986,0,11
984,0,11
982,0,11
980,0,11
978,0,11
976,0,11
974,0,11
972,0,11
970,0,11
967.999,0,11
965.999,0,11
963.999,0,11
961.999,0,11
959.999,0,11
957.999,0,11
955.998,0,11
953.997,0,11
951.995,0,11
952.01,0,11.1736
952.025,0,11.1736
952.04,0,11.1736
952.056,0,11.1736
952.071,0,11.1736
952.086,0,11.1736
952.101,0,11.1736
952.117,0,11.1736
952.132,0,11.1736
952.147,0,11.1736
952.162,0,11.1736
952.177,0,11.1736
952.193,0,11.1736
952.208,0,11.1736
952.223,0,11.1736
952.238,0,11.1736
952.253,0,11.1736
952.269,0,11.1736
952.284,0,11.1736
952.299,0,11.1736
952.314,0,11.1736
952.329,0,11.1736
952.345,0,11.1736
952.36,0,11.1736
952.375,0,11.1736
952.39,0,11.1736
952.406,0,11.1736
952.421,0,11.1736
952.436,0,11.1736
952.451,0,11.1736
952.466,0,11.1736
952.482,0,11.1736
952.497,0,11.1736
952.512,0,11.1736
952.527,0,11.1736
952.542,0,11.1736
952.558,0,11.1736
952.573,0,11.1736
952.588,0,11.1736
952.603,0,11.1736
952.619,0,11.1736
952.634,0,11.1736
952.649,0,11.1736
952.664,0,11.1736
952.679,0,11.1736
952.695,0,11.1736
952.71,0,11.1736
952.725,0,11.1736
952.74,0,11.1736
952.755,0,11.1736
952.771,0,11.1736
952.786,0,11.1736
952.801,0,11.1736
952.816,0,11.1736
952.831,0,11.1736
952.847,0,11.1736
952.862,0,11.1736
952.877,0,11.1736
952.892,0,11.1736
952.908,0,11.1736
952.923,0,11.1736
952.938,0,11.1736
952.953,0,11.1736
952.968,0,11.1736
952.984,0,11.1736
952.999,0,11.1736
953.014,0,11.1736
953.029,0,11.1736
953.044,0,11.1736
953.06,0,11.1736
953.075,0,11.1736
953.09,0,11.1736
953.105,0,11.1736
953.12,0,11.1736
953.136,0,11.1736
953.151,0,11.1736
953.166,0,11.1736
953.181,0,11.1736
953.197,0,11.1736
953.212,0,11.1736
953.227,0,11.1736
953.242,0,11.1736
953.257,0,11.1736
953.273,0,11.1736
953.288,0,11.1736
953.303,0,11.1736
953.318,0,11.1736
953.333,0,11.1736
953.349,0,11.1736
953.364,0,11.1736
953.379,0,11.1736
953.394,0,11.1736
953.409,0,11.1736
953.425,0,11.1736
953.44,0,11.1736
953.455,0,11.1736
953.47,0,11.1736
953.486,0,11.1736
953.501,0,11.1736
953.516,0,11.1736
953.531,0,11.1736
953.546,0,11.1736
953.562,0,11.1736
953.577,0,11.1736
953.592,0,11.1736
953.607,0,11.1736
953.622,0,11.1736
953.638,0,11.1736
953.653,0,11.1736
953.668,0,11.1736
953.683,0,11.1736
953.698,0,11.1736
953.714,0,11.1736
953.729,0,11.1736
953.744,0,11.1736
953.759,0,11.1736
953.775,0,11.1736
953.79,0,11.1736
953.805,0,11.1736
953.82,0,11.1736
953.835,0,11.1736
953.851,0,11.1736
953.866,0,11.1736
953.881,0,11.1736
953.896,0,11.1736
953.911,0,11.1736
953.927,0,11.1736
953.942,0,11.1736
953.957,0,11.1736
953.972,0,11.1736
953.987,0,11.1736
954.003,0,11.1736
954.018,0,11.1736
954.033,0,11.1736
954.048,0,11.1736
954.064,0,11.1736
954.079,0,11.1736
954.094,0,11.1736
954.109,0,11.1736
954.124,0,11.1736
954.14,0,11.1736
954.155,0,11.1736
954.17,0,11.1736
954.185,0,11.1736
954.2,0,11.1736
954.216,0,11.1736
954.231,0,11.1736
954.246,0,11.1736
954.261,0,11.1736
954.277,0,11.1736
954.292,0,11.1736
954.307,0,11.1736
954.322,0,11.1736
954.337,0,11.1736
954.353,0,11.1736
954.368,0,11.1736
954.383,0,11.1736
954.398,0,11.1736
954.413,0,11.1736
954.429,0,11.1736
954.444,0,11.1736
954.459,0,11.1736
954.474,0,11.1736
954.489,0,11.1736
954.505,0,11.1736
954.52,0,11.1736
954.535,0,11.1736
954.55,0,11.1736
954.566,0,11.1736
954.581,0,11.1736
954.596,0,11.1736
954.611,0,11.1736
954.626,0,11.1736
954.642,0,11.1736
954.657,0,11.1736
954.672,0,11.1736
954.687,0,11.1736
954.702,0,11.1736
954.718,0,11.1736
954.733,0,11.1736
954.748,0,11.1736
954.763,0,11.1736
954.778,0,11.1736
954.794,0,11.1736
954.809,0,11.1736
954.824,0,11.1736
954.839,0,11.1736
954.855,0,11.1736
954.87,0,11.1736
954.885,0,11.1736
954.9,0,11.1736
954.915,0,11.1736
954.931,0,11.1736
954.946,0,11.1736
954.961,0,11.1736
954.976,0,11.1736
954.991,0,11.1736
955.007,0,11.1736
955.022,0,11.1736
955.037,0,11.1736
955.052,0,11.1736
955.067,0,11.1736
955.083,0,11.1736
955.098,0,11.1736
955.113,0,11.1736
955.128,0,11.1736
955.144,0,11.1736
955.159,0,11.1736
955.174,0,11.1736
955.189,0,11.1736
955.204,0,11.1736
955.22,0,11.1736
955.235,0,11.1736
955.25,0,11.1736
955.265,0,11.1736
955.28,0,11.1736
955.296,0,11.1736
955.311,0,11.1736
955.326,0,11.1736
955.341,0,11.1736
955.356,0,11.1736
955.372,0,11.1736
955.387,0,11.1736
955.402,0,11.1736
955.417,0,11.1736
955.433,0,11.1736
955.448,0,11.1736
955.463,0,11.1736
955.478,0,11.1736
955.493,0,11.1736
955.509,0,11.1736
955.524,0,11.1736
955.539,0,11.1736
955.554,0,11.1736
955.569,0,11.1736
955.585,0,11.1736
955.6,0,11.1736
955.615,0,11.1736
955.63,0,11.1736
955.646,0,11.1736
955.661,0,11.1736
955.676,0,11.1736
955.691,0,11.1736
955.706,0,11.1736
955.722,0,11.1736
955.737,0,11.1736
955.752,0,11.1736
955.767,0,11.1736
955.782,0,11.1736
955.798,0,11.1736
955.813,0,11.1736
955.828,0,11.1736
955.843,0,11.1736
955.858,0,11.1736
955.874,0,11.1736
955.889,0,11.1736
955.904,0,11.1736
955.919,0,11.1736
955.935,0,11.1736
955.95,0,11.1736
955.965,0,11.1736
955.98,0,11.1736
955.995,0,11.1736
956.011,0,11.1736
956.026,0,11.1736
956.041,0,11.1736
956.056,0,11.1736
956.071,0,11.1736
956.087,0,11.1736
956.102,0,11.1736
956.117,0,11.1736
956.132,0,11.1736
956.147,0,11.1736
956.163,0,11.1736
956.178,0,11.1736
956.193,0,11.1736
956.208,0,11.1736
956.224,0,11.1736
956.239,0,11.1736
956.254,0,11.1736
956.269,0,11.1736
956.284,0,11.1736
956.3,0,11.1736
956.315,0,11.1736
956.33,0,11.1736
956.345,0,11.1736
956.36,0,11.1736
956.376,0,11.1736
956.391,0,11.1736
956.406,0,11.1736
956.421,0,11.1736
956.436,0,11.1736
956.452,0,11.1736
956.467,0,11.1736
956.482,0,11.1736
956.497,0,11.1736
956.513,0,11.1736
956.528,0,11.1736
956.543,0,11.1736
956.558,0,11.1736
956.573,0,11.1736
956.589,0,11.1736
956.604,0,11.1736
956.619,0,11.1736
956.634,0,11.1736
956.649,0,11.1736
956.665,0,11.1736
956.68,0,11.1736
956.695,0,11.1736
956.71,0,11.1736
956.725,0,11.1736
956.741,0,11.1736
956.756,0,11.1736
956.771,0,11.1736
956.786,0,11.1736
956.802,0,11.1736
956.817,0,11.1736
956.832,0,11.1736
956.847,0,11.1736
956.862,0,11.1736
956.878,0,11.1736
956.893,0,11.1736
956.908,0,11.1736
956.923,0,11.1736
956.938,0,11.1736
956.954,0,11.1736
956.969,0,11.1736
956.984,0,11.1736
956.999,0,11.1736
957.014,0,11.1736
957.03,0,11.1736
957.045,0,11.1736
957.06,0,11.1736
957.075,0,11.1736
957.091,0,11.1736
957.106,0,11.1736
957.121,0,11.1736
957.136,0,11.1736
957.151,0,11.1736
957.167,0,11.1736
957.182,0,11.1736
957.197,0,11.1736
957.212,0,11.1736
